Num,LeetCode Problem,Topic,Video Explanation,Difficulty,Solved?,Last Solved Date,Number of times,Notes
25,Daily Temperatures,Stack,https://www.youtube.com/watch?v=jmuo4BBfl3I,Medium,No,,,
26,Car Fleet,Stack,https://www.youtube.com/watch?v=TPSiTAFhszA,Medium,No,,,
27,Largest Rectangle In Histogram,Stack,https://www.youtube.com/watch?v=IasMlShanvc,Hard,No,,,
28,Binary Search,Binary Search,https://www.youtube.com/watch?v=t3yPHFyKxr4,Easy,Yes,2024-07-07,2,
29,Search a 2D Matrix,Binary Search,https://www.youtube.com/watch?v=dP4cb8zbohY,Medium,No,,,
30,Koko Eating Bananas,Binary Search,https://www.youtube.com/watch?v=3m3QZeiH3KI,Medium,No,,,
36,Merge Two Sorted Lists,Linked List,https://www.youtube.com/watch?v=Bwymxn-n6XA,Easy,Yes,2024-07-07,2,
41,Linked List Cycle,Linked List,https://www.youtube.com/watch?v=k-gTqlOBT1g,Easy,Yes,2024-07-07,3,
33,Time Based Key Value Store,Binary Search,https://www.youtube.com/watch?v=u08L8DaDoOU,Medium,No,,,
34,Median of Two Sorted Arrays,Binary Search,https://www.youtube.com/watch?v=LRM4qiHLYCE,Hard,No,,,
46,Invert Binary Tree,Trees,https://www.youtube.com/watch?v=yb2Y9h2YWio,Easy,Yes,2024-07-07,2,
52,Lowest Common Ancestor of a Binary Search Tree,Trees,https://www.youtube.com/watch?v=1HUmPsyFb9U,Medium,Yes,2024-07-07,2,
37,Reorder List,Linked List,https://www.youtube.com/watch?v=lBdS4AV1EGw,Medium,No,,,
38,Implement Queue using Stacks,Stack,,Easy,Yes,2024-07-07,1,
39,Copy List With Random Pointer,Linked List,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,Medium,No,,,
40,Add Two Numbers,Linked List,https://www.youtube.com/watch?v=MYtp__JpTns,Medium,No,,,
41,First Bad Version,Binary Search,,Easy,Yes,2024-07-07,3,
42,Find The Duplicate Number,Linked List,https://www.youtube.com/watch?v=Lu3if4xOA1s,Medium,No,,,
43,LRU Cache,Linked List,https://www.youtube.com/watch?v=VPq5dlxaeP8,Medium,No,,,
44,Merge K Sorted Lists,Linked List,https://www.youtube.com/watch?v=SlKgDtpJnxg,Hard,No,,,
45,Reverse Nodes In K Group,Linked List,https://www.youtube.com/watch?v=P9_K8M4nnf0,Hard,No,,,
46,Ransom Note,Arrays & Hashing,,Easy,Yes,2024-07-07,2,
47,Employee Importance,Graphs,,Easy,Yes,2024-07-07,1,
48,Flood Fill,Graphs,,Easy,Yes,2024-07-07,1,
